ID;Fax;
1;(171) 555-2223;
2;(100) 555-4823;
3;(313) 555-3349;
4;(03) 3555-5111;
5;(98) 598 76 74;
6;(06) 431-7977;
7;(03) 444-6588;
8;(161) 555-4458;
9;031-987 65 91;
10;(11) 555 4650;
11;(010) 9984511;
12;(069) 992799;
13;(04721) 8714;
14;(0544) 60603;
15;(0)2-953610;
16;(503) 555-9631;
17;08-123 45 97;
18;(1) 03.83.00.62;
19;(617) 555-3389;
20;555-8717;
21;43844115;
22;(12345) 1210;
23;(953) 10946;
24;(02) 555-4873;
25;(514) 555-9822;
26;(089) 6547667;
27;85.57.06.07;
28;38.76.98.58;
29;(514) 555-2921;
